"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
exposoma_1,cuestionario_de_padres_exposoma,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 1: El ambiente al aire libre<br><br><span style=""font-weight: normal; color: #1c46f7;"">¿Por favor, complete la siguiente tabla indicando los medios de transporte que su hijo usa habitualmente en los viajes hacia y desde el colegio o la casa donde lo cuidan? (Si combina más de una forma de transporte, escoja y escriba las formas y los minutos de cada una, y así sucesivamente). Por ejemplo: 10 minutos caminando y 20 minutos en metro.</span></p> <p style=""text-align: center;""><span style=""font-weight: normal; color: #1c46f7;"">En una semana típica de clases de colegio:</span></p></div>",descriptive,"<div class=""rich-text-field-label""><p>¿Por favor, complete la siguiente tabla indicando los medios de transporte que su hijo usa habitualmente en los viajes hacia y desde el colegio o la casa donde lo cuidan? (Si combina más de una forma de transporte, escoja y escriba las formas y los minutos de cada una, y así sucesivamente). Por ejemplo: 10 minutos caminando y 20 minutos en metro.</p> <p><strong id=""docs-internal-guid-1e790229-7fff-8996-c0eb-39d89e06e082"">En una semana típica de clases de colegio: </strong></p> <p><strong>A. <strong id=""docs-internal-guid-daf1d96c-7fff-a817-1c92-923e21ca8fb3"">De la casa al colegio</strong></strong></p> <table style=""border-collapse: collapse; width: 100%; height: 450px;"" border=""1""><colgroup><col style=""width: 50.0726%;""><col style=""width: 49.9274%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-ff8f9bb0-7fff-24c8-178e-b6bbafa54464"">Para ir desde la casa hacia el colegio a pie (caminando)</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_1_1a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_1_1b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-d01d085f-7fff-9857-c3af-9f69ed9d7e04"">Para ir desde la casa  hacia el colegio en bicicleta</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_1_2a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_1_2b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-c5d0979e-7fff-badc-2a42-5815b1a01310"">Para ir desde la casa hacia el colegio en bus o en combi o metropolitano </strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_1_3a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_1_3b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-01106db4-7fff-dee3-ec72-f6779a0cae92"">Para ir desde la casa hacia el colegio en metro o tren</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_1_4a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_1_4b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-75d156ce-7fff-ffb2-9623-374e22458b74"">Para ir desde la casa hacia el colegio en carro (auto propio, movilidad escolar, taxi o colectivo)</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_1_5a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_1_5b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-7bb1d920-7fff-24e5-c479-b9517c31c857"">Para ir desde la casa hacia el colegio en moto taxi o moto lineal</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_1_6a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_1_6b}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
exposoma_1_1a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - a pie (caminando)",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_1_1b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - a pie (caminando)",,,number,,,,,y,RH,,,,
exposoma_1_2a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en bicicleta",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_1_2b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en bicicleta",,,number,,,,,y,RH,,,,
exposoma_1_3a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en bus o en combi o metropolitano ",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_1_3b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en bus o en combi o metropolitano ",,,number,,,,,y,RH,,,,
exposoma_1_4a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en metro o tren",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_1_4b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en metro o tren ",,,number,,,,,y,RH,,,,
exposoma_1_5a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en carro (auto propio, movilidad escolar, taxi o colectivo)",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_1_5b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en carro (auto propio, movilidad escolar, taxi o colectivo) ",,,number,,,,,y,RH,,,,
exposoma_1_6a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en moto taxi o moto lineal",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_1_6b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en moto taxi o moto lineal",,,number,,,,,y,RH,,,,
exposoma_2,cuestionario_de_padres_exposoma,,descriptive,"<div class=""rich-text-field-label""><p>B. <strong id=""docs-internal-guid-2939a845-7fff-5df5-a07e-728fb44a6b55"">Del colegio a la casa</strong></p> <table style=""border-collapse: collapse; width: 100%; height: 450px;"" border=""1""><colgroup><col style=""width: 50.0726%;""><col style=""width: 49.9274%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-ff8f9bb0-7fff-24c8-178e-b6bbafa54464"">Para regresar desde la casa hacia el colegio a pie (caminando)</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_2_1a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_2_1b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-d01d085f-7fff-9857-c3af-9f69ed9d7e04"">Para <strong id=""docs-internal-guid-ff8f9bb0-7fff-24c8-178e-b6bbafa54464"">regresar</strong> desde la casa  hacia el colegio en bicicleta</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_2_2a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_2_2b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-c5d0979e-7fff-badc-2a42-5815b1a01310"">Para <strong id=""docs-internal-guid-ff8f9bb0-7fff-24c8-178e-b6bbafa54464"">regresar </strong>desde la casa hacia el colegio en bus o en combi o metropolitano </strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_2_3a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_2_3b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-01106db4-7fff-dee3-ec72-f6779a0cae92"">Para <strong id=""docs-internal-guid-ff8f9bb0-7fff-24c8-178e-b6bbafa54464"">regresar</strong> desde la casa hacia el colegio en metro o tren</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_2_4a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_2_4b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-75d156ce-7fff-ffb2-9623-374e22458b74"">Para <strong id=""docs-internal-guid-ff8f9bb0-7fff-24c8-178e-b6bbafa54464"">regresar</strong> desde la casa hacia el colegio en carro (auto propio, movilidad escolar, taxi o colectivo)</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_2_5a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_2_5b}</td> </tr> <tr style=""height: 25px;""> <td colspan=""2""><em><strong id=""docs-internal-guid-7bb1d920-7fff-24e5-c479-b9517c31c857"">Para <strong id=""docs-internal-guid-ff8f9bb0-7fff-24c8-178e-b6bbafa54464"">regresar</strong> desde la casa hacia el colegio en moto taxi o moto lineal</strong></em></td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7aa0c138-7fff-4068-6814-2e1f70c89b8d"">Duración (minutos)</strong></td> <td>{exposoma_2_6a}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-a75d4a9c-7fff-5187-ab17-0ef312002999"">Número de días en la semana</strong></td> <td>{exposoma_2_6b}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
exposoma_2_1a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - a pie (caminando)",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_2_1b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - a pie (caminando)",,,number,,,,,y,RH,,,,
exposoma_2_2a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en bicicleta",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_2_2b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en bicicleta",,,number,,,,,y,RH,,,,
exposoma_2_3a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en bus o en combi o metropolitano ",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_2_3b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en bus o en combi o metropolitano ",,,number,,,,,y,RH,,,,
exposoma_2_4a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en metro o tren",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_2_4b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en metro o tren ",,,number,,,,,y,RH,,,,
exposoma_2_5a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en carro (auto propio, movilidad escolar, taxi o colectivo)",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_2_5b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en carro (auto propio, movilidad escolar, taxi o colectivo) ",,,number,,,,,y,RH,,,,
exposoma_2_6a,cuestionario_de_padres_exposoma,,text,"Duración (minutos) - en moto taxi o moto lineal",,"Unidad: minutos (min)",number,,,,,y,RH,,,,
exposoma_2_6b,cuestionario_de_padres_exposoma,,text,"Número de días en la semana - en moto taxi o moto lineal",,,number,,,,,y,RH,,,,
exposoma_3,cuestionario_de_padres_exposoma,,radio,"<div class=""rich-text-field-label""><p>Ayer, además del colegio o de su casa, ¿su hijo fue a algún otro lugar?<br><span style=""font-weight: normal; color: #1c46f7;"">(Por ejemplo: casa de un amigo o familiar, parque, centro comercial, mercado, iglesia, entrenamiento deportivo, etc.). </span></p></div>","1, Sí salió de casa ayer | 0, No salió de casa ayer",,,,,,,y,LV,,,,
exposoma_3_lugares,cuestionario_de_padres_exposoma,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #1c46f7;"">Cuántos lugares (1, 2, 3) marcó el familiares</span><span style=""font-weight: normal; color: #1c46f7;""> </span></p></div>","1, Lugar 1 | 2, Lugar 2 | 3, Lugar 3",,,,,,[exposoma_3]='1',y,LV,,,,
exposoma_3_lugar1,cuestionario_de_padres_exposoma,,descriptive,"<div class=""rich-text-field-label""><p>Si salió de casa ayer y visitó más de un lugar, complete la información para cada uno. <br>Por favor, escriba los lugares que visitó, con la dirección y los detalles del viaje.</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""><colgroup><col style=""width: 32.5363%;""><col style=""width: 67.4637%;""></colgroup> <tbody> <tr> <td style=""text-align: center;"" colspan=""2"">Lugar 1</td> </tr> <tr> <td><strong id=""docs-internal-guid-87ae92f9-7fff-a3b4-3d3c-8d40b05a9062"">Nombre o tipo de lugar</strong></td> <td>{exposoma_3_lugar1_a}</td> </tr> <tr> <td><strong id=""docs-internal-guid-7cbeb416-7fff-c3a1-ae4d-c7c2c8159891"">Dirección completa (calle, avenida, jirón)</strong></td> <td>{exposoma_3_lugar1_b}</td> </tr> <tr> <td><strong id=""docs-internal-guid-1f93ccdf-7fff-dd42-376b-dea8a4cfb254"">Distrito</strong></td> <td>{exposoma_3_lugar1_c}</td> </tr> <tr> <td><strong id=""docs-internal-guid-f8f7d609-7fff-f39d-9ed8-d182ffba7df6"">Modo de transporte (caminando, bus, combi, bicicleta, taxi)</strong></td> <td>{exposoma_3_lugar1_d}</td> </tr> <tr> <td><strong id=""docs-internal-guid-e3bc4984-7fff-0b54-a813-5f955496aea7"">Tiempo total de viaje (ida y vuelta) </strong></td> <td>{exposoma_3_lugar1_e}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[exposoma_3_lugares(1)]='1',,,,,,
exposoma_3_lugar1_a,cuestionario_de_padres_exposoma,,text,"Nombre o tipo de lugar",,"Escribir en mayúsculas y sin tildes",,,,,,,,,,," @PLACEHOLDER=""PARQUE LA TABLADA"""
exposoma_3_lugar1_b,cuestionario_de_padres_exposoma,,text,"Nombre o tipo de lugar",,,,,,,,,,,,," @PLACEHOLDER=""AV. RICARDO GALVEZ 100"""
exposoma_3_lugar1_c,cuestionario_de_padres_exposoma,,text,Distrito,,"Escribir en mayúsculas y sin tildes",,,,,,,,,,," @PLACEHOLDER=""MAGDALENA"""
exposoma_3_lugar1_d,cuestionario_de_padres_exposoma,,radio,"Modo de transporte (caminando, bus, combi, bicicleta, taxi) ","1, Caminando | 2, Bicicleta | 3, Bus/Combi/Metropolitano | 4, Carro/Taxi/Movilidad | 5, Moto/Mototaxi | 6, Otro (especifique):","Unidad: minutos (min)",,,,,,,LV,,,,
exposoma_3_lugar1_e,cuestionario_de_padres_exposoma,,text,"Tiempo total de viaje (ida y vuelta) ",,"Unidad: minutos (min)",,,,,,,,,,," @PLACEHOLDER=""30"""
exposoma_3_lugar2,cuestionario_de_padres_exposoma,,descriptive,"<div class=""rich-text-field-label""><p>Si salió de casa ayer y visitó más de un lugar, complete la información para cada uno. <br>Por favor, escriba los lugares que visitó, con la dirección y los detalles del viaje.</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""><colgroup><col style=""width: 32.5363%;""><col style=""width: 67.4637%;""></colgroup> <tbody> <tr> <td style=""text-align: center;"" colspan=""2"">Lugar 2</td> </tr> <tr> <td><strong id=""docs-internal-guid-87ae92f9-7fff-a3b4-3d3c-8d40b05a9062"">Nombre o tipo de lugar</strong></td> <td>{exposoma_3_lugar2_a}</td> </tr> <tr> <td><strong id=""docs-internal-guid-7cbeb416-7fff-c3a1-ae4d-c7c2c8159891"">Dirección completa (calle, avenida, jirón)</strong></td> <td>{exposoma_3_lugar2_b}</td> </tr> <tr> <td><strong id=""docs-internal-guid-1f93ccdf-7fff-dd42-376b-dea8a4cfb254"">Distrito</strong></td> <td>{exposoma_3_lugar2_c}</td> </tr> <tr> <td><strong id=""docs-internal-guid-f8f7d609-7fff-f39d-9ed8-d182ffba7df6"">Modo de transporte (caminando, bus, combi, bicicleta, taxi)</strong></td> <td>{exposoma_3_lugar2_d}</td> </tr> <tr> <td><strong id=""docs-internal-guid-e3bc4984-7fff-0b54-a813-5f955496aea7"">Tiempo total de viaje (ida y vuelta) </strong></td> <td>{exposoma_3_lugar2_e}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[exposoma_3_lugares(2)]='1',,,,,,
exposoma_3_lugar2_a,cuestionario_de_padres_exposoma,,text,"Nombre o tipo de lugar",,"Escribir en mayúsculas y sin tildes",,,,,,,,,,," @PLACEHOLDER=""PARQUE LA TABLADA"""
exposoma_3_lugar2_b,cuestionario_de_padres_exposoma,,text,"Nombre o tipo de lugar",,,,,,,,,,,,," @PLACEHOLDER=""AV. RICARDO GALVEZ 100"""
exposoma_3_lugar2_c,cuestionario_de_padres_exposoma,,text,Distrito,,"Escribir en mayúsculas y sin tildes",,,,,,,,,,," @PLACEHOLDER=""MAGDALENA"""
exposoma_3_lugar2_d,cuestionario_de_padres_exposoma,,radio,"Modo de transporte (caminando, bus, combi, bicicleta, taxi) ","1, Caminando | 2, Bicicleta | 3, Bus/Combi/Metropolitano | 4, Carro/Taxi/Movilidad | 5, Moto/Mototaxi | 6, Otro (especifique):","Unidad: minutos (min)",,,,,,,LV,,,,
exposoma_3_lugar2_e,cuestionario_de_padres_exposoma,,text,"Tiempo total de viaje (ida y vuelta) ",,"Unidad: minutos (min)",,,,,,,,,,," @PLACEHOLDER=""30"""
exposoma_3_lugar3,cuestionario_de_padres_exposoma,,descriptive,"<div class=""rich-text-field-label""><p>Si salió de casa ayer y visitó más de un lugar, complete la información para cada uno. <br>Por favor, escriba los lugares que visitó, con la dirección y los detalles del viaje.</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""><colgroup><col style=""width: 32.5363%;""><col style=""width: 67.4637%;""></colgroup> <tbody> <tr> <td style=""text-align: center;"" colspan=""2"">Lugar 3</td> </tr> <tr> <td><strong id=""docs-internal-guid-87ae92f9-7fff-a3b4-3d3c-8d40b05a9062"">Nombre o tipo de lugar</strong></td> <td>{exposoma_3_lugar3_a}</td> </tr> <tr> <td><strong id=""docs-internal-guid-7cbeb416-7fff-c3a1-ae4d-c7c2c8159891"">Dirección completa (calle, avenida, jirón)</strong></td> <td>{exposoma_3_lugar3_b}</td> </tr> <tr> <td><strong id=""docs-internal-guid-1f93ccdf-7fff-dd42-376b-dea8a4cfb254"">Distrito</strong></td> <td>{exposoma_3_lugar3_c}</td> </tr> <tr> <td><strong id=""docs-internal-guid-f8f7d609-7fff-f39d-9ed8-d182ffba7df6"">Modo de transporte (caminando, bus, combi, bicicleta, taxi)</strong></td> <td>{exposoma_3_lugar3_d}</td> </tr> <tr> <td><strong id=""docs-internal-guid-e3bc4984-7fff-0b54-a813-5f955496aea7"">Tiempo total de viaje (ida y vuelta) </strong></td> <td>{exposoma_3_lugar3_e}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[exposoma_3_lugares(1)]='3',,,,,,
exposoma_3_lugar3_a,cuestionario_de_padres_exposoma,,text,"Nombre o tipo de lugar",,"Escribir en mayúsculas y sin tildes",,,,,,,,,,," @PLACEHOLDER=""PARQUE LA TABLADA"""
exposoma_3_lugar3_b,cuestionario_de_padres_exposoma,,text,"Nombre o tipo de lugar",,,,,,,,,,,,," @PLACEHOLDER=""AV. RICARDO GALVEZ 100"""
exposoma_3_lugar3_c,cuestionario_de_padres_exposoma,,text,Distrito,,"Escribir en mayúsculas y sin tildes",,,,,,,,,,," @PLACEHOLDER=""MAGDALENA"""
exposoma_3_lugar3_d,cuestionario_de_padres_exposoma,,radio,"Modo de transporte (caminando, bus, combi, bicicleta, taxi) ","1, Caminando | 2, Bicicleta | 3, Bus/Combi/Metropolitano | 4, Carro/Taxi/Movilidad | 5, Moto/Mototaxi | 6, Otro (especifique):","Unidad: minutos (min)",,,,,,,LV,,,,
exposoma_3_lugar3_e,cuestionario_de_padres_exposoma,,text,"Tiempo total de viaje (ida y vuelta) ",,"Unidad: minutos (min)",,,,,,,,,,," @PLACEHOLDER=""30"""
exposoma_4,cuestionario_de_padres_exposoma,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 2: Espacios libres<br><br><span style=""font-weight: normal; color: #063eff;"">Las siguientes preguntas son para obtener información sobre el uso de los espacios verdes por parte de su hijo. </span></p> <p style=""text-align: center;""><span style=""font-weight: normal; color: #063eff;"">Por espacios verdes nos referimos a parques, jardines, áreas con pasto, árboles o arbustos.</span></p> <p style=""text-align: center;""><span style=""font-weight: normal; color: #063eff;"">Por favor, no incluya el tiempo que pasa en el colegio durante las clases.</span><br><br><span style=""font-weight: normal; color: #063eff;"">Frecuencia y duración del juego en espacios verdes (semana y fin de semana)</span></p></div>",text,"<div class=""rich-text-field-label""><p>Durante el último mes, en promedio cuántas veces por semana <span style=""text-decoration: underline;"">(durante la semana)</span><br>¿Cuántas <span style=""text-decoration: underline;"">veces</span> jugó su hijo en espacios verdes?</p></div>",,"Número de veces",number,0,100,,,y,LV,,,,
exposoma_5,cuestionario_de_padres_exposoma,,text,"<div class=""rich-text-field-label""><p>Durante el último mes, en promedio cuántas veces por semana <span style=""text-decoration: underline;"">(durante el fin de semana)</span><br>¿Cuántas <span style=""text-decoration: underline;"">veces </span>jugó su hijo en espacios verdes?</p></div>",,"Número de veces",number,0,100,,,y,LV,,,,
exposoma_6,cuestionario_de_padres_exposoma,,text,"<div class=""rich-text-field-label""><p>Durante el último mes, en promedio cuántas horas por cada vez <span style=""text-decoration: underline;"">(durante la semana)</span><br>¿Cuántas<span style=""text-decoration: underline;""> horas </span>jugó su hijo en espacios verdes?</p></div>",,"Número de horas  a la semana",number,0,170,,,y,LV,,,,
exposoma_7,cuestionario_de_padres_exposoma,,text,"<div class=""rich-text-field-label""><p>Durante el último mes, en promedio cuántas horas por cada vez <span style=""text-decoration: underline;"">(durante el fin de semana)</span><br>¿Cuántas<span style=""text-decoration: underline;""> horas </span>jugó su hijo en espacios verdes?</p></div>",,"Número de horas fin de semana",number,0,170,,,y,LV,,,,
exposoma_8,cuestionario_de_padres_exposoma,,text,"<div class=""rich-text-field-label""><p>En el tiempo libre de su hijo/cuando <span style=""text-decoration: underline;"">no está en la escuela</span>, ¿cuántas <span style=""text-decoration: underline;"">veces</span> jugó su hijo en los espacios verdes <span style=""text-decoration: underline;"">hoy/ayer</span>?</p></div>",,"Número de veces",number,0,100,,,y,LV,,,,
exposoma_9,cuestionario_de_padres_exposoma,,text,"<div class=""rich-text-field-label""><p>En el tiempo libre de su hijo/cuando <span style=""text-decoration: underline;"">no está en la escuela,</span> ¿cuántas <span style=""text-decoration: underline;"">veces</span> jugó su hijo en los espacios verdes en la <span style=""text-decoration: underline;"">última semana</span>?</p></div>",,"Número de veces",number,0,100,,,y,LV,,,,
exposoma_10,cuestionario_de_padres_exposoma,,text,"<div class=""rich-text-field-label""><p>En el tiempo libre de su hijo/cuando <span style=""text-decoration: underline;"">no está en la escuela</span>, ¿cuántas <span style=""text-decoration: underline;"">horas</span> por cada vez jugó su hijo en los espacios verdes<span style=""text-decoration: underline;""> hoy/ayer</span>?</p></div>",,"Número de horas",number,0,170,,,y,LV,,,,
exposoma_11,cuestionario_de_padres_exposoma,,text,"<div class=""rich-text-field-label""><p>En el tiempo libre de su hijo/cuando<span style=""text-decoration: underline;""> no está en la escuela</span>, ¿cuántas <span style=""text-decoration: underline;"">horas </span>por cada vez jugó su hijo en los espacios verdes en la <span style=""text-decoration: underline;"">última semana</span>?</p></div>",,"Número de horas",number,0,170,,,y,LV,,,,
exposoma_12_escuela,cuestionario_de_padres_exposoma,,descriptive,"<div class=""rich-text-field-label""><p>Parques visitados con más frecuencia<br>Durante el año escolar (cuando hay clases), ¿en qué parques de su barrio o ciudad juega su hijo con mayor frecuencia?</p> <table style=""border-collapse: collapse; width: 100%; height: 100px;"" border=""1""><colgroup><col style=""width: 33.3807%;""><col style=""width: 33.3807%;""><col style=""width: 33.2386%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td>Parque</td> <td>Nombre o referencia</td> <td>Distrito o zona</td> </tr> <tr style=""height: 25px;""> <td>Parque 1</td> <td>{exposoma_12_escuela_ref1}</td> <td>{exposoma_12_escuela_dist1}</td> </tr> <tr style=""height: 25px;""> <td>Parque 2</td> <td>{exposoma_12_escuela_ref2}</td> <td>{exposoma_12_escuela_dist2}</td> </tr> <tr style=""height: 25px;""> <td>Parque 3</td> <td>{exposoma_12_escuela_ref3}</td> <td>{exposoma_12_escuela_dist3}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
exposoma_12_escuela_ref1,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,y,,,,,
exposoma_12_escuela_ref2,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_12_escuela_ref3,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_12_escuela_dist1,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,y,,,,,
exposoma_12_escuela_dist2,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_12_escuela_dist3,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
